39.0481," -77.4728,
1.2929," 103.8547,
-31.4015," -64.1803,
54.7889," 56.0481,
34.7725," 113.7266,
54.3526," 18.5876,
10.8142," 106.6438,
38.6583," -77.2481,
35.3248," 139.4821,
37.5198," 126.9113,
37.7353," -122.3732,
34.7725," 113.7266,
-6.1741," 106.8296,
50.1188," 8.6843,
48.8582," 2.3387,
48.8582," 2.3387,
34.7725," 113.7266,
55.7527," 37.6172,
34.7725," 113.7266,
37.5112," 126.9741,
37.5112," 126.9741,
-17.6791," -41.3374,
-6.1741," 106.8296,
37.2336," 127.201,
35.69," 139.69,
34.7725," 113.7266,
34.7725," 113.7266,
45.4117," 9.4317,
34.7725," 113.7266,
51.8526," 4.4939,
48.8582," 2.3387,
55.7386," 37.6068,
34.7725," 113.7266,
23.7912," 90.4104,
-23.63," -46.6322,
37.5112," 126.9741,
48.8582," 2.3387,
48.8582," 2.3387,
14.5955," 120.9721,
34.7725," 113.7266,
34.7725," 113.7266,
1.2929," 103.8547,
52.3824," 4.8995,
43.6319," -79.3716,
34.7725," 113.7266,
34.0549," -118.2578,
8," -66,
49.8875," 8.6448,
25.6632," -100.4301,
34.7725," 113.7266,
-34.6022," -58.3845,
-6.1741," 106.8296,
38.6583," -77.2481,
55.7386," 37.6068,
34.7725," 113.7266,
51.7501," 14.2442,
29.3339," 48.0761,
48.8582," 2.3387,
48.9335," 2.3661,
55.7527," 37.6172,
34.7725," 113.7266,
22.25," 114.1667,
34.7725," 113.7266,
34.7725," 113.7266,
55.7386," 37.6068,
34.7725," 113.7266,
48.8582," 2.3387,
48.8582," 2.3387,
52.3006," 4.9479,
43.1479," 12.1097,
34.7725," 113.7266,
51.2993," 9.491,
48.8582," 2.3387,
48.2584," -1.4025,
34.7725," 113.7266,
34.0853," -80.9167,
34.7725," 113.7266,
48.8582," 2.3387,
1.2929," 103.8547,
1.314," 103.6839,
34.7725," 113.7266,
34.7725," 113.7266,
34.0549," -118.2578,
40.2852," -3.7972,
52.374," 4.8897,
34.7725," 113.7266,
43.6547," -79.3623,
39.1423," 117.1726,
55.7386," 37.6068,
1.2929," 103.8547,
34.7725," 113.7266,
22.9908," 120.2133,
37.5985," 126.9783,
-23.3128," -51.1596,
51.2993," 9.491,
51.2993," 9.491,
18.5213," 73.8523,
34.7725," 113.7266,
43.6319," -79.3716,
34.7725," 113.7266,
21.1463," 79.0849,
37.751," -97.822,
37.4954," 127.0621,
6.2529," -75.5646,
34.7725," 113.7266,
35.1431," -90.0492,
40.7145," -74.0029,
51.4964," -0.1224,
19.6661," -101.2795,
55.7386," 37.6068,
34.7725," 113.7266,
34.7725," 113.7266,
34.7725," 113.7266,
-19.5483," -47.9414,
34.7725," 113.7266,
34.7725," 113.7266,
37.3417," -121.9753,
34.7725," 113.7266,
1.314," 103.6839,
37.5985," 126.9783,
40.793," -74.0247,
40.8364," -74.1403,
37.751," -97.822,
39.9288," 116.3889,
34.7725," 113.7266,
-15.4167," 28.2833,
38.6583," -77.2481,
31.0449," 121.4012,
48.8582," 2.3387,
40.7145," -74.0029,
37.3417," -121.9753,
34.7725," 113.7266,
55.7527," 37.6172,
48," 68,
34.7725," 113.7266,
48.8582," 2.3387,
34.7725," 113.7266,
49.9007," 2.2968,
45.5063," -73.5794,
40.4143," -3.7016,
24.4798," 118.0819,
1.314," 103.6839,
37.3417," -121.9753,
37.5985," 126.9783,
10.8242," 106.6275,
1.314," 103.6839,
34.7725," 113.7266,
34.7725," 113.7266,
48.8582," 2.3387,
36.6534," -78.375,
1.314," 103.6839,
16.0023," 105.9999,
53.0577," 8.8036,
1.314," 103.6839,
-5.3867," -47.5382,
1.314," 103.6839,
51.5164," -0.093,
34.7725," 113.7266,
-11.8847," -76.4397,
34.7725," 113.7266,
32.7787," -96.8217,
51.0787," 16.997,
22.5333," 114.1333,
45.9968," 24.997,
37.7353," -122.3732,
34.7725," 113.7266,
37.751," -97.822,
3.139," 101.72,
34.7725," 113.7266,
34.7725," 113.7266,
37.3388," -121.8914,
-22.8305," -43.2192,
45.3161," -73.8736,
55.7527," 37.6172,
34.7725," 113.7266,
34.7725," 113.7266,
34.7725," 113.7266,
39.9288," 116.3889,
50.1851," 14.6768,
25.2633," 55.3087,
16.0023," 105.9999,
48.8582," 2.3387,
55.6835," 37.2154,
39.9288," 116.3889,
34.7725," 113.7266,
51.5353," -0.6658,
16.0023," 105.9999,
40.8364," -74.1403,
40.7145," -74.0029,
34.7725," 113.7266,
43.1479," 12.1097,
46.7993," 130.3163,
37.5985," 126.9783,
48.8582," 2.3387,
22.9524," 90.9457,
-29," 24,
30.161," -81.7311,
40.793," -74.0247,
3.4384," -76.5232,
43.3183," 13.6775,
34.7725," 113.7266,
35.69," 139.69,
-23.63," -46.6322,
48.8582," 2.3387,
34.7725," 113.7266,
38.7174," -9.1321,
34.7725," 113.7266,
55.7386," 37.6068,
25.6955," 32.6536,
16.0023," 105.9999,
34.7725," 113.7266,
1.314," 103.6839,
48.8582," 2.3387,
36.6621," 117.0104,
34.7725," 113.7266,
37.3417," -121.9753,
34.7725," 113.7266,
34.7725," 113.7266,
37.751," -97.822,
31.0449," 121.4012,
37.5985," 126.9783,
48.8582," 2.3387,
34.7725," 113.7266,
-25.2869," -57.6511,
34.7725," 113.7266,
34.7725," 113.7266,
43.4631," 11.8783,
46.9526," 16.2736,
22.25," 114.1667,
34.7725," 113.7266,
34.7725," 113.7266,
50.6625," 14.0167,
23.1167," 113.25,
48.8582," 2.3387,
52.0333," 113.55,
34.7725," 113.7266,
40.793," -74.0247,
50.9614," 11.2597,
19.6661," -101.2795,
34.7725," 113.7266,
34.7725," 113.7266,
34.7725," 113.7266,
1.314," 103.6839,
40.8364," -74.1403,
42.8864," -78.8784,
52.374," 4.8897,
40.8364," -74.1403,
34.7725," 113.7266,
34.7725," 113.7266,
39.0728," 114.8731,
34.7725," 113.7266,
-29," 24,
45.7657," 4.9763,
40.793," -74.0247,
33.058," -80.0101,
34.7725," 113.7266,
34.7725," 113.7266,
34.7725," 113.7266,
31.8642," 117.2865,
51.5353," -0.6658,
34.7725," 113.7266,
40.8364," -74.1403,
48.8582," 2.3387,
52.0625," -1.3429,
37.3417," -121.9753,
48.8582," 2.3387,
34.7725," 113.7266,
17.0665," -96.7226,
-18.787," -40.0589,
34.7725," 113.7266,
38.3432," -0.4807,
48.8582," 2.3387,
-6.1741," 106.8296,
43.6319," -79.3716,
-6.175," 106.8286,
50.1188," 8.6843,
16.0023," 105.9999,
34.7725," 113.7266,
50.1188," 8.6843,
39.9288," 116.3889,
39.9288," 116.3889,
34.7725," 113.7266,
34.7725," 113.7266,
34.7725," 113.7266,
-22.9035," -47.0565,
49.4199," 2.823,
35.6738," 139.8032,
34.7725," 113.7266,
45.748," 4.85,
3.0384," 101.7105,
55.7386," 37.6068,
37.3417," -121.9753,
40.793," -74.0247,
34.7725," 113.7266,
-6.175," 106.8286,
-21.2245," -47.8238,
34.7725," 113.7266,
50.1188," 8.6843,
41.7756," -71.3568,
34.7725," 113.7266,
50.1103," 8.7147,
34.7725," 113.7266,
1.314," 103.6839,
34.7725," 113.7266,
34.7725," 113.7266,
48.8582," 2.3387,
12.9721," 77.5933,
37.751," -97.822,
48.8582," 2.3387,
45.3161," -73.8736,
34.7725," 113.7266,
37.5985," 126.9783,
48.8582," 2.3387,
40.8364," -74.1403,
-23.63," -46.6322,
48.8582," 2.3387,
1.314," 103.6839,
12.9721," 77.5933,
34.7725," 113.7266,
40.793," -74.0247,
32.0679," 34.7604,
48.8582," 2.3387,
16.0023," 105.9999,
34.7725," 113.7266,
48.6221," 2.4878,
52.2394," 21.0362,
38.6583," -77.2481,
51.5689," 0.008,
48.8582," 2.3387,
35," 105,
34.7725," 113.7266,
34.7725," 113.7266,
34.7725," 113.7266,
34.7725," 113.7266,
50.1188," 8.6843,
34.7725," 113.7266,
55.7386," 37.6068,
37.6564," 126.835,
34.7725," 113.7266,
21.5," -80,
2.0442," 45.3358,
22.2909," 114.15,
45.8003," 24.1443,
16.0023," 105.9999,
10.8142," 106.6438,
-6.175," 106.8286,
51.6006," 7.191,
54.7889," 56.0481,
34.7725," 113.7266,
48.8582," 2.3387,
